epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,7551.18,1.01007,0.6863,1.37314,0.00477,0.87242,0.88111,0.92364,0.68046,0.9196,0.66581,1.3058,0.00123,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,7692.58,0.99564,0.68176,1.36287,0.00497,0.90438,0.84941,0.92632,0.64354,1.05722,0.68752,1.30994,0.00143,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,7833.23,1.01629,0.68087,1.352,0.00505,0.89493,0.8679,0.93003,0.67576,0.95836,0.67219,1.28057,0.00127,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,7976.61,0.99383,0.67393,1.3537,0.00427,0.89699,0.86275,0.92659,0.68519,0.91189,0.65399,1.2909,0.00115,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,8116.98,1.00985,0.68165,1.35172,0.00498,0.9006,0.85733,0.92166,0.69136,0.8865,0.64776,1.30036,0.00122,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,8261.61,0.98789,0.6702,1.34875,0.00479,0.89524,0.85791,0.92152,0.68044,0.90505,0.65638,1.28856,0.00094,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,8406.38,0.98597,0.67568,1.34302,0.00422,0.88694,0.8705,0.92425,0.67784,0.94193,0.65822,1.28301,0.00116,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,8552.03,0.97964,0.6608,1.32965,0.00431,0.89281,0.86922,0.92898,0.69923,0.87268,0.64165,1.28535,0.00105,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,8696.3,0.96609,0.66049,1.33393,0.00449,0.88114,0.88139,0.92806,0.70111,0.86983,0.64147,1.27688,0.00118,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,8841.54,0.99049,0.67066,1.34346,0.00451,0.8764,0.88111,0.92987,0.69704,0.88779,0.65355,1.27917,0.00118,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,8986.14,0.97784,0.66245,1.32612,0.00436,0.86964,0.88639,0.92708,0.69606,0.87085,0.64608,1.27652,0.00118,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,9128.62,0.99007,0.66835,1.33355,0.00471,0.86685,0.88639,0.92343,0.68477,0.92314,0.65515,1.27733,0.00119,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,9271.83,0.96185,0.65637,1.31884,0.00441,0.88495,0.87387,0.92556,0.69437,0.90403,0.65526,1.2756,0.00108,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,9415.23,0.98463,0.65981,1.33485,0.00485,0.89023,0.86779,0.92686,0.70399,0.85905,0.64135,1.27348,0.00089,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,9558.52,0.96393,0.65699,1.31612,0.00466,0.89389,0.86394,0.9244,0.69257,0.90957,0.65515,1.27055,0.0012,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,9702.4,0.97358,0.6595,1.32703,0.00449,0.90054,0.87311,0.92907,0.70476,0.85222,0.63966,1.26212,0.00099,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,9847.69,0.96196,0.65172,1.31673,0.00458,0.89751,0.87922,0.92867,0.7038,0.86036,0.64473,1.26832,0.00128,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,9991.65,0.9562,0.65327,1.32248,0.00513,0.89444,0.87054,0.92692,0.68494,0.93682,0.65657,1.25359,0.00139,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,10139.7,0.97002,0.65076,1.31938,0.00416,0.8939,0.87054,0.92737,0.70072,0.86657,0.63928,1.27151,0.00118,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,10285.7,0.96551,0.65623,1.31446,0.00445,0.88482,0.8745,0.92615,0.69926,0.87564,0.6368,1.26419,0.00106,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,10430.3,0.96962,0.65992,1.31708,0.00421,0.89058,0.86526,0.92603,0.69143,0.89731,0.65023,1.25169,0.00116,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,10574.1,0.96734,0.65675,1.3117,0.00466,0.89068,0.86922,0.92869,0.71073,0.83038,0.63919,1.25528,0.00102,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,10718.2,0.95186,0.65305,1.30313,0.00434,0.89774,0.8745,0.92853,0.70879,0.83977,0.63657,1.25748,0.00103,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,10862.1,0.94191,0.64232,1.30319,0.00488,0.89607,0.87583,0.92918,0.70914,0.8383,0.63211,1.25152,0.001,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,11006.8,0.9322,0.64429,1.30175,0.00429,0.89132,0.87318,0.9268,0.70919,0.83958,0.63122,1.24186,0.00101,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,11151.6,0.93899,0.64087,1.29724,0.00458,0.88447,0.87715,0.92345,0.69847,0.87401,0.64168,1.23563,0.0011,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,11296.7,0.9581,0.6503,1.31169,0.0047,0.88868,0.87531,0.92341,0.71252,0.83806,0.63622,1.24128,0.00112,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,11441,0.94496,0.64688,1.30303,0.00445,0.88878,0.86262,0.92495,0.71506,0.83229,0.63039,1.24626,0.00111,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,11589.6,0.95671,0.65038,1.30616,0.0048,0.88978,0.8679,0.92155,0.69388,0.90354,0.64946,1.24776,0.00124,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,11732.9,0.93578,0.64287,1.29529,0.00441,0.88487,0.87318,0.92185,0.70298,0.87137,0.63858,1.24313,0.00116,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,11876.7,0.94448,0.64602,1.29975,0.00437,0.88745,0.8679,0.92307,0.7061,0.84862,0.63402,1.24118,0.0012,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,12019.9,0.94493,0.64361,1.29786,0.00449,0.8927,0.8679,0.9247,0.70941,0.83816,0.62661,1.24175,0.00122,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,12163.7,0.91803,0.63174,1.28469,0.00392,0.89481,0.87583,0.92612,0.71008,0.83072,0.62539,1.23475,0.00121,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,12308.1,0.92305,0.63462,1.29298,0.00407,0.8935,0.87715,0.92653,0.7145,0.82861,0.62929,1.23945,0.00124,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,12453.5,0.92217,0.63521,1.28783,0.00408,0.89319,0.87847,0.92784,0.70812,0.84486,0.63153,1.23768,0.00129,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,12599.1,0.95376,0.64712,1.29356,0.00421,0.88493,0.87847,0.92777,0.71645,0.82687,0.62771,1.23566,0.0012,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,12741.8,0.92975,0.64204,1.29443,0.00419,0.88911,0.87979,0.92867,0.71667,0.82141,0.62443,1.23608,0.00116,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,12886,0.9068,0.62269,1.27892,0.00382,0.89384,0.86755,0.92825,0.71942,0.82067,0.62401,1.23434,0.00116,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
